12:00 ;14:00;16:00 ;16:01 ;18:00;18:01;18:02;18:03;20:00;20:01;22:01;Cetan Number
0;0;2,3;0;38,3;57,9;0,8;0,4;0;0;0;61,5
0;0;17,9;0;18,5;42,7;13,7;2,1;0;0;0;57,3
0;0;35;0;0;24;31;0;0;0;0;56,2
0;0;3,7;0;43,7;52,6;0;0;0;0;0;63,1
0;0;0,7;0;46,4;49,5;0,9;0;0;0;0;63,5
0;0;6,1;0;47,5;46,4;0;0;0;0;0;64,3
0;39,2;13,3;0;2,4;44,1;1;0;0;0;0;61,8
0;0;66;0;3,5;27,5;3;0;0;0;0;65,3
59,1;11,5;0;0;0;21;6,7;0;0;0;0;60,8
35,6;50,7;4,5;0;0;8,3;0,1;0;0;0;0;66,1
87,9;1,9;0,5;0;0;5,4;0;0;0;0;0;63,2
0;0;5,4;0;8,5;55,1;8,2;0;20,7;0;0;59,77
0;0;19;0;14;63;3;0;1;0;0;59,32
0;0;18,8;0;9;32,5;39,5;0;0;0;0;50,42
0;0;5,5;0;6,7;10,5;48,5;28,5;0;0;0;34,18
2,8;5,5;9,9;0;1,1;15,8;22,1;42,7;0;0;0;34,25
0;0;9,5;0;18,4;56;0;16,1;0;0;0;52,26
0;0;6,1;0;47,5;46,4;0;0;0;0;0;64,26
0;0;4;0;6,1;14,8;71;1;3;0;0;41,25
0;0,8;14,5;0;3,8;18,5;61,4;0;1;0;0;44,45
35,6;50,7;4,5;0;0;8,3;0,1;0;0;0;0;66,13
19,6;54,5;19,6;0;0;5,4;0;0;0;0;0;67,47
0;0;0,2;0;13,8;45,3;0;0;34,7;4,2;0;64,86
0;0;66;0;3,5;27,5;3;0;0;0;0;65,27
0;0,1;17,8;0;14;46,3;17,9;0;3;0;0;56,61
0;0;25,4;0;0;46,8;27,8;0;0;0;0;52,22
0;0;24,4;0,2;7,2;50,5;15,8;0,6;0,7;0,2;0;56,33
0;0,4;19,7;0,4;6,5;50,3;21,6;1,1;0;0;0;54
0;1,4;15,6;0;9,7;40,8;32,1;0;0,4;0;0;52,31
0;11;1,2;0;0,5;56;29;0;2,3;0;0;49,9
